rank,time_pct,total_ms,instances,avg_us,kernel
14,1.81,33.93,35712,0.95,"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<int, int, int, at::native::lshift_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}>, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<int, int, int, at::native::lshift_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}>, std::array<char*, 2ul>)"
15,1.24,23.16,5504,4.21,triton_poi_fused_clamp_mul_silu_slice_0
16,1.00,18.72,7936,2.36,_save_partial_states_kernel
17,1.00,18.65,5120,3.64,"void vllm::moe::topkGatingSoftplusSqrt<8, 256, 4, 16, 32, false, int, float>(float const*, bool const*, float*, int, int*, int*, int, int, int, bool, double, float const*, int const*, int const*)"
18,0.96,18.04,5504,3.28,"void at::native::reduce_kernel<128, 4, at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::sum_functor<c10::BFloat16, float, c10::BFloat16>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, c10::BFloat16, 4, 8> >(at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::sum_functor<c10::BFloat16, float, c10::BFloat16>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, c10::BFloat16, 4, 8>)"
19,0.90,16.89,5166,3.27,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8::Params)
20,0.83,15.57,5504,2.83,"void vllm::moe::moe_align_block_size_kernel<int>(int const*, int*, int*, int*, int*, int, int, int, int, unsigned long, int*, int, int, bool)"
21,0.66,12.38,5504,2.25,"void vllm::deepseek_v4_fused_ops::fusedDeepseekV4QNormRopeKVRopeQuantInsertKernel<c10::BFloat16>(c10::BFloat16*, c10::BFloat16 const*, unsigned char*, long const*, long const*, float const*, float, int, int, int, int, int)"
22,0.61,11.36,5674,2.00,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)"
23,0.57,10.64,16426,0.65,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)"
24,0.52,9.69,5294,1.83,kernel_cutlass_kernel_vllmv1attentionopsdeepseek_v4_opsdequant_gather_k_cutedslDequantGatherKCacheKernel_object_at__tensorptrbf16gmemalign32o512i64div16i64div161_tensorptri8gmemalign32o64_0
25,0.49,9.22,5248,1.76,_fused_kv_compress_norm_rope_insert_sparse_attn
26,0.46,8.63,5504,1.57,triton_poi_fused_clamp_copy__mul_silu_slice_0
27,0.43,7.96,5504,1.45,triton_red_fused_rms_norm_2
28,0.42,7.87,5504,1.43,triton_red_fused_moe_forward_shared_rms_norm_0
29,0.42,7.79,10922,0.71,memcpy32_post
30,0.40,7.57,252,30.04,_fp8ds_paged_attention_with_sink_multihead_kernel
31,0.39,7.27,8706,0.84,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)"
32,0.39,7.23,5166,1.40,_dequantize_global_slots_k_kernel
33,0.38,7.04,5504,1.28,_fused_q_kv_rmsnorm_kernel
34,0.37,7.00,2688,2.60,_fused_kv_compress_norm_rope_insert_indexer_attn
35,0.35,6.57,5504,1.19,_fused_inv_rope_fp8_quant_per_head
36,0.31,5.86,5504,1.06,"void vllm::moe::count_and_sort_expert_tokens_kernel<int>(int const*, int*, int*, int*, unsigned long, int, int, int, bool)"
37,0.26,4.93,2688,1.84,_fused_indexer_q_rope_quant_kernel
38,0.25,4.63,2646,1.75,_compute_global_topk_indices_and_lens_kernel
39,0.23,4.32,5166,0.84,_build_combined_decode_valid_mask_kernel
40,0.23,4.32,5166,0.84,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)"
41,0.22,4.15,5504,0.75,triton_poi_fused_add_all_reduce_1
42,0.19,3.51,128,27.41,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)"
43,0.16,2.93,168,17.44,_accumulate_indexed_attention_chunk_kernel
44,0.15,2.83,2646,1.07,"void vllm::persistent::persistent_topk_kernel<512, 4u>(vllm::persistent::PersistentTopKParams)"
45,0.12,2.33,128,18.19,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4, 4> >(at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4, 4>)"
46,0.09,1.72,336,5.12,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8x5_nn_align1>(cutlass_80_simt_sgemm_128x32_8x5_nn_align1::Params)
47,0.08,1.55,128,12.09,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)
48,0.08,1.43,384,3.73,"void vllm::moe::topkGatingSoftplusSqrt<8, 256, 4, 16, 32, true, int, float>(float const*, bool const*, float*, int, int*, int*, int, int, int, bool, double, float const*, int const*, int const*)"
49,0.05,1.01,128,7.92,hc_head_fuse_tilelang_kernel
50,0.05,0.98,640,1.52,_compute_slot_mapping_kernel
51,0.05,0.91,82,11.05,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_32x32_64x1_tn_align8>(cutlass_80_wmma_tensorop_s161616gemm_bf16_32x32_64x1_tn_align8::Params)
